year,mon,dy,hr,minutes,seconds,lon,lat,dep,mag,evid
2012,2,1,5,57,29.63,122.6705,24.8880,11.77,3.44,14010556.P12
2012,2,1,18,27,14.48,122.3780,24.1618,41.17,3.05,14011827.P12
2012,2,2,4,25,22.52,121.4610,23.7627,14.85,3.07,14020424.P12
2012,2,2,15,20,55.52,122.0500,23.8323,35.39,3.25,14021520.P12
2012,2,2,17,34,0.15,120.9798,21.9628,18.05,3.71,14021733.P12
2012,2,3,2,27,5.79,120.7442,22.7728,21.41,4.11,14030226.P12
2012,2,3,9,23,27.61,121.0575,22.4165,9.81,3.18,14030923.P12
2012,2,4,2,47,58.12,122.5522,24.0858,34.23,3.42,14040247.P12
2012,2,4,2,54,22.58,122.6585,24.6682,116.18,5.56,14040253.P12
2012,2,4,3,55,39.45,121.5673,24.8503,76.87,3.44,14040354.P12
2012,2,4,5,26,2.07,122.6747,24.6847,119.44,3.14,14040525.P12
2012,2,4,7,51,48.62,121.7060,24.7747,78.43,3.47,14040751.P12
2012,2,4,22,46,20.04,122.6088,24.3610,52.14,3.28,14042246.P12
2012,2,5,3,9,1.42,120.8608,21.5713,14.58,3.02,14050308.P12
2012,2,5,14,44,9.95,122.7665,24.5740,103.09,3.06,14051444.P12
2012,2,5,16,25,11.27,121.0478,22.3978,13.40,4.73,14051624.P12
2012,2,5,19,5,0.22,121.3847,23.2197,20.23,3.00,14051904.P12
2012,2,5,23,32,12.29,122.6090,24.7948,105.29,3.07,14052332.P12
2012,2,5,23,40,8.78,121.0168,22.4262,12.69,3.14,14052340.P12
2012,2,6,3,48,27.79,121.0323,22.4240,11.79,4.37,14060348.P12
2012,2,6,7,12,50.66,121.0297,22.4187,11.43,3.07,14060712.P12
2012,2,6,10,6,53.87,121.4910,24.3655,4.86,3.09,14061006.P12
2012,2,6,10,40,27.74,121.0127,22.4265,12.65,3.67,14061040.P12
2012,2,6,12,36,58.06,121.0195,22.4233,12.30,3.42,14061236.P12
2012,2,6,14,57,20.99,122.4325,24.7290,105.93,3.14,14061456.P12
2012,2,7,1,3,45.10,122.7628,23.7698,9.14,3.45,14070102.P12
2012,2,7,8,27,45.54,121.1698,22.9107,25.80,3.99,14070827.P12
2012,2,7,14,48,15.46,121.7903,24.1787,6.73,3.52,14071448.P12
2012,2,7,14,48,42.18,121.7263,24.2382,2.08,3.27,14071448.112
2012,2,7,15,11,34.50,121.7818,24.1737,6.78,3.01,14071511.112
2012,2,7,15,11,48.33,121.7810,24.1825,5.87,3.35,14071511.212
2012,2,7,21,27,30.41,121.0132,22.4185,13.59,3.13,14072126.P12
2012,2,7,23,34,32.34,121.0433,22.4083,13.59,3.59,14072333.P12
2012,2,8,3,3,35.14,122.8553,23.7568,36.55,3.34,14080302.P12
2012,2,8,10,40,54.47,120.6262,22.8967,16.66,3.11,14081040.P12
2012,2,9,0,32,0.70,121.6195,23.9808,7.43,3.16,14090031.P12
2012,2,9,6,28,53.44,119.8228,21.7155,46.82,3.76,14090628.P12
2012,2,9,9,16,49.68,121.9167,23.9033,35.90,4.30,14090916.P12
