   time          R           T           Z
1.6000e+00 -2.5146e+03 -2.2779e+03 -1.6950e+03
1.6100e+00 -2.4685e+03 -2.2761e+03 -1.6850e+03
1.6200e+00 -2.4152e+03 -2.2755e+03 -1.6920e+03
1.6300e+00 -2.4266e+03 -2.2568e+03 -1.7510e+03
1.6400e+00 -2.4485e+03 -2.2585e+03 -1.7510e+03
1.6500e+00 -2.4126e+03 -2.2963e+03 -1.7380e+03
1.6600e+00 -2.3967e+03 -2.2863e+03 -1.7260e+03
1.6700e+00 -2.4257e+03 -2.3040e+03 -1.7410e+03
1.6800e+00 -2.3985e+03 -2.3359e+03 -1.7400e+03
1.6900e+00 -2.3543e+03 -2.3112e+03 -1.6850e+03
1.7000e+00 -2.3810e+03 -2.3065e+03 -1.6900e+03
1.7100e+00 -2.4232e+03 -2.3077e+03 -1.6940e+03
1.7200e+00 -2.4163e+03 -2.3149e+03 -1.6720e+03
1.7300e+00 -2.3912e+03 -2.3219e+03 -1.6810e+03
1.7400e+00 -2.4367e+03 -2.3286e+03 -1.6880e+03
1.7500e+00 -2.4720e+03 -2.3531e+03 -1.6720e+03
1.7600e+00 -2.4325e+03 -2.3381e+03 -1.6200e+03
1.7700e+00 -2.4015e+03 -2.3040e+03 -1.5430e+03
1.7800e+00 -2.4303e+03 -2.2754e+03 -1.4940e+03
1.7900e+00 -2.4577e+03 -2.2496e+03 -1.4670e+03
1.8000e+00 -2.4390e+03 -2.2785e+03 -1.4030e+03
1.8100e+00 -2.4565e+03 -2.2756e+03 -1.3360e+03
1.8200e+00 -2.4812e+03 -2.1991e+03 -1.3220e+03
1.8300e+00 -2.4808e+03 -2.2101e+03 -1.3000e+03
1.8400e+00 -2.5026e+03 -2.2129e+03 -1.2460e+03
1.8500e+00 -2.5201e+03 -2.1536e+03 -1.1900e+03
1.8600e+00 -2.5257e+03 -2.1331e+03 -1.1080e+03
1.8700e+00 -2.5248e+03 -2.0997e+03 -1.0440e+03
1.8800e+00 -2.5501e+03 -2.0424e+03 -1.0090e+03
1.8900e+00 -2.5629e+03 -2.0289e+03 -9.7200e+02
1.9000e+00 -2.5586e+03 -2.0475e+03 -9.3200e+02
1.9100e+00 -2.5938e+03 -1.9834e+03 -9.0400e+02
1.9200e+00 -2.6212e+03 -1.9092e+03 -9.0500e+02
1.9300e+00 -2.6396e+03 -1.8994e+03 -8.7400e+02
1.9400e+00 -2.6127e+03 -1.8971e+03 -8.2300e+02
1.9500e+00 -2.6063e+03 -1.8751e+03 -7.9400e+02
1.9600e+00 -2.6556e+03 -1.8762e+03 -7.5300e+02
1.9700e+00 -2.6395e+03 -1.8279e+03 -7.0500e+02
1.9800e+00 -2.6170e+03 -1.7575e+03 -7.0000e+02
1.9900e+00 -2.6487e+03 -1.7464e+03 -7.1600e+02
2.0000e+00 -2.6934e+03 -1.7268e+03 -6.6900e+02
2.0100e+00 -2.6884e+03 -1.7433e+03 -5.8500e+02
2.0200e+00 -2.6523e+03 -1.7015e+03 -5.3100e+02
2.0300e+00 -2.6725e+03 -1.6526e+03 -4.8300e+02
2.0400e+00 -2.7018e+03 -1.6361e+03 -4.6100e+02
2.0500e+00 -2.6822e+03 -1.5994e+03 -4.3000e+02
2.0600e+00 -2.6983e+03 -1.5510e+03 -3.6800e+02
2.0700e+00 -2.7386e+03 -1.4865e+03 -3.1400e+02
2.0800e+00 -2.7344e+03 -1.4880e+03 -2.6700e+02
2.0900e+00 -2.7353e+03 -1.4730e+03 -2.3100e+02
2.1000e+00 -2.7828e+03 -1.4235e+03 -1.8600e+02
2.1100e+00 -2.8298e+03 -1.3458e+03 -1.8600e+02
2.1200e+00 -2.8131e+03 -1.2862e+03 -1.8600e+02
2.1300e+00 -2.8474e+03 -1.2774e+03 -1.5100e+02
2.1400e+00 -2.9328e+03 -1.2397e+03 -1.6700e+02
2.1500e+00 -2.9246e+03 -1.2165e+03 -1.3000e+02
2.1600e+00 -2.8839e+03 -1.1873e+03 -5.0000e+01
2.1700e+00 -2.8878e+03 -1.1404e+03 -1.1000e+01
2.1800e+00 -2.9376e+03 -1.0962e+03  2.0000e+00
2.1900e+00 -2.9779e+03 -1.0559e+03 -7.0000e+00
2.2000e+00 -2.9756e+03 -1.0103e+03 -1.8000e+01
2.2100e+00 -2.9667e+03 -9.8497e+02 -6.0000e+00
2.2200e+00 -2.9587e+03 -9.9204e+02  3.1000e+01
2.2300e+00 -2.9471e+03 -9.7244e+02  6.6000e+01
2.2400e+00 -2.9653e+03 -9.4751e+02  6.6000e+01
2.2500e+00 -3.0055e+03 -9.2432e+02  7.0000e+01
2.2600e+00 -2.9865e+03 -8.8264e+02  1.0800e+02
2.2700e+00 -2.9592e+03 -8.8326e+02  1.0300e+02
2.2800e+00 -2.9422e+03 -9.0633e+02  9.9000e+01
2.2900e+00 -2.9544e+03 -8.8165e+02  1.1400e+02
2.3000e+00 -2.9739e+03 -8.3873e+02  1.1200e+02
2.3100e+00 -2.9323e+03 -8.1640e+02  1.0800e+02
2.3200e+00 -2.9549e+03 -8.2124e+02  5.9000e+01
2.3300e+00 -3.0012e+03 -8.5424e+02  3.0000e+01
2.3400e+00 -2.9920e+03 -8.7930e+02  3.9000e+01
2.3500e+00 -2.9878e+03 -8.6466e+02  3.3000e+01
2.3600e+00 -2.9713e+03 -8.4345e+02  5.6000e+01
2.3700e+00 -2.9818e+03 -8.1554e+02  5.5000e+01
2.3800e+00 -3.0252e+03 -7.7462e+02 -1.7000e+01
2.3900e+00 -3.0003e+03 -8.2088e+02 -4.8000e+01
2.4000e+00 -2.9563e+03 -8.5870e+02 -2.2000e+01
2.4100e+00 -2.9809e+03 -7.9830e+02 -4.5000e+01
2.4200e+00 -3.0438e+03 -8.0315e+02 -6.2000e+01
2.4300e+00 -3.0616e+03 -8.3862e+02 -4.3000e+01
2.4400e+00 -3.0246e+03 -8.2795e+02 -3.7000e+01
2.4500e+00 -3.0337e+03 -7.8776e+02 -1.5000e+01
2.4600e+00 -3.0514e+03 -7.2649e+02 -3.5000e+01
2.4700e+00 -3.0602e+03 -7.5279e+02 -5.8000e+01
2.4800e+00 -3.0968e+03 -8.4706e+02 -5.2000e+01
2.4900e+00 -3.1247e+03 -8.2536e+02 -6.6000e+01
2.5000e+00 -3.1379e+03 -7.7661e+02 -7.5000e+01
2.5100e+00 -3.0944e+03 -7.9335e+02 -6.5000e+01
2.5200e+00 -3.0980e+03 -7.4039e+02 -8.8000e+01
2.5300e+00 -3.1325e+03 -7.4672e+02 -1.5200e+02
2.5400e+00 -3.1246e+03 -8.1023e+02 -1.6500e+02
2.5500e+00 -3.1163e+03 -8.2027e+02 -2.0300e+02
2.5600e+00 -3.1206e+03 -8.3392e+02 -2.5400e+02
2.5700e+00 -3.1656e+03 -8.3653e+02 -2.9100e+02
2.5800e+00 -3.1495e+03 -8.7684e+02 -3.2500e+02
2.5900e+00 -3.1159e+03 -8.9581e+02 -3.1300e+02
2.6000e+00 -3.0871e+03 -8.8415e+02 -3.2800e+02
2.6100e+00 -3.0496e+03 -9.0163e+02 -3.3300e+02
2.6200e+00 -3.0469e+03 -9.2346e+02 -3.5100e+02
2.6300e+00 -3.0185e+03 -1.0056e+03 -3.9400e+02
2.6400e+00 -3.0049e+03 -1.0663e+03 -4.1600e+02
2.6500e+00 -2.9841e+03 -1.0466e+03 -4.2600e+02
2.6600e+00 -2.9510e+03 -1.0697e+03 -4.1700e+02
2.6700e+00 -2.9260e+03 -1.1572e+03 -4.1800e+02
2.6800e+00 -2.8839e+03 -1.2114e+03 -4.1800e+02
2.6900e+00 -2.8673e+03 -1.2477e+03 -4.4800e+02
2.7000e+00 -2.8278e+03 -1.2971e+03 -4.7500e+02
2.7100e+00 -2.8178e+03 -1.2888e+03 -5.0900e+02
2.7200e+00 -2.8133e+03 -1.3084e+03 -5.6700e+02
2.7300e+00 -2.7564e+03 -1.3285e+03 -5.5900e+02
2.7400e+00 -2.7916e+03 -1.3047e+03 -5.8100e+02
2.7500e+00 -2.8175e+03 -1.3473e+03 -6.1000e+02
2.7600e+00 -2.7711e+03 -1.3878e+03 -5.9400e+02
2.7700e+00 -2.7839e+03 -1.3743e+03 -6.3200e+02
2.7800e+00 -2.7906e+03 -1.3449e+03 -6.9600e+02
2.7900e+00 -2.7184e+03 -1.3338e+03 -7.4200e+02
2.8000e+00 -2.7040e+03 -1.3280e+03 -7.8100e+02
2.8100e+00 -2.7770e+03 -1.3654e+03 -8.1900e+02
2.8200e+00 -2.7574e+03 -1.4254e+03 -8.0800e+02
2.8300e+00 -2.6694e+03 -1.3711e+03 -7.3500e+02
2.8400e+00 -2.6776e+03 -1.2894e+03 -7.1300e+02
2.8500e+00 -2.7308e+03 -1.2911e+03 -7.3500e+02
2.8600e+00 -2.7214e+03 -1.3423e+03 -7.1000e+02
2.8700e+00 -2.6848e+03 -1.3528e+03 -7.1700e+02
2.8800e+00 -2.6976e+03 -1.3312e+03 -7.3800e+02
2.8900e+00 -2.7259e+03 -1.3469e+03 -7.2600e+02
2.9000e+00 -2.6951e+03 -1.3591e+03 -7.0800e+02
2.9100e+00 -2.7024e+03 -1.3409e+03 -6.7300e+02
2.9200e+00 -2.7051e+03 -1.3755e+03 -6.6900e+02
2.9300e+00 -2.6863e+03 -1.4215e+03 -6.8100e+02
2.9400e+00 -2.6982e+03 -1.4311e+03 -6.9000e+02
2.9500e+00 -2.6602e+03 -1.4525e+03 -7.0300e+02
2.9600e+00 -2.6467e+03 -1.4398e+03 -6.8100e+02
2.9700e+00 -2.6419e+03 -1.4301e+03 -6.4100e+02
2.9800e+00 -2.6233e+03 -1.4580e+03 -6.1600e+02
2.9900e+00 -2.5869e+03 -1.4827e+03 -5.8400e+02
3.0000e+00 -2.5524e+03 -1.4844e+03 -5.3500e+02
3.0100e+00 -2.5599e+03 -1.4813e+03 -4.9700e+02
3.0200e+00 -2.5755e+03 -1.5014e+03 -5.2300e+02
3.0300e+00 -2.5657e+03 -1.5153e+03 -5.2700e+02
3.0400e+00 -2.5156e+03 -1.4889e+03 -5.0000e+02
3.0500e+00 -2.5584e+03 -1.4448e+03 -4.9000e+02
3.0600e+00 -2.6205e+03 -1.4315e+03 -4.4200e+02
3.0700e+00 -2.6122e+03 -1.4254e+03 -3.7600e+02
3.0800e+00 -2.6178e+03 -1.3727e+03 -3.1100e+02
3.0900e+00 -2.6176e+03 -1.3585e+03 -3.2400e+02
3.1000e+00 -2.5651e+03 -1.3993e+03 -3.0900e+02
3.1100e+00 -2.5329e+03 -1.3590e+03 -2.6300e+02
3.1200e+00 -2.5289e+03 -1.3021e+03 -2.7100e+02
3.1300e+00 -2.5344e+03 -1.2745e+03 -2.2700e+02
3.1400e+00 -2.5892e+03 -1.2229e+03 -2.0000e+02
3.1500e+00 -2.5887e+03 -1.2269e+03 -1.8500e+02
3.1600e+00 -2.5779e+03 -1.2246e+03 -1.9100e+02
3.1700e+00 -2.5801e+03 -1.1906e+03 -2.0500e+02
3.1800e+00 -2.5480e+03 -1.1815e+03 -1.6100e+02
3.1900e+00 -2.5669e+03 -1.1032e+03 -1.5400e+02
3.2000e+00 -2.5824e+03 -1.0518e+03 -1.4600e+02
3.2100e+00 -2.5715e+03 -1.0827e+03 -1.2600e+02
3.2200e+00 -2.5423e+03 -1.0578e+03 -9.5000e+01
3.2300e+00 -2.5195e+03 -9.9049e+02 -7.0000e+01
3.2400e+00 -2.5208e+03 -9.8057e+02 -8.0000e+01
3.2500e+00 -2.5103e+03 -1.0075e+03 -4.9000e+01
3.2600e+00 -2.5116e+03 -9.3307e+02 -2.5000e+01
3.2700e+00 -2.5264e+03 -8.4724e+02 -1.0000e+00
3.2800e+00 -2.5233e+03 -8.3979e+02  2.8000e+01
3.2900e+00 -2.4864e+03 -8.0394e+02  6.8000e+01
3.3000e+00 -2.5001e+03 -7.5123e+02  1.1300e+02
3.3100e+00 -2.5555e+03 -7.2693e+02  8.5000e+01
3.3200e+00 -2.5556e+03 -7.5012e+02  8.3000e+01
3.3300e+00 -2.5760e+03 -7.1638e+02  1.0200e+02
3.3400e+00 -2.5583e+03 -6.8091e+02  1.1900e+02
3.3500e+00 -2.5156e+03 -6.9169e+02  1.6700e+02
3.3600e+00 -2.5566e+03 -6.3737e+02  1.6500e+02
3.3700e+00 -2.5553e+03 -6.1604e+02  1.9000e+02
3.3800e+00 -2.5581e+03 -5.8515e+02  2.4500e+02
3.3900e+00 -2.5622e+03 -5.5241e+02  2.5900e+02
3.4000e+00 -2.5218e+03 -5.7758e+02  3.1800e+02
3.4100e+00 -2.5088e+03 -6.0115e+02  3.6700e+02
3.4200e+00 -2.4819e+03 -5.7460e+02  3.7800e+02
3.4300e+00 -2.4578e+03 -5.0105e+02  4.2200e+02
3.4400e+00 -2.4311e+03 -4.9670e+02  4.9300e+02
3.4500e+00 -2.4186e+03 -4.8405e+02  5.6900e+02
3.4600e+00 -2.4173e+03 -4.5465e+02  6.2300e+02
3.4700e+00 -2.4262e+03 -4.6383e+02  6.2400e+02
3.4800e+00 -2.4035e+03 -4.5192e+02  6.5000e+02
3.4900e+00 -2.3550e+03 -3.9647e+02  7.2100e+02
3.5000e+00 -2.4040e+03 -3.4314e+02  7.5700e+02
3.5100e+00 -2.4188e+03 -3.4600e+02  7.8200e+02
3.5200e+00 -2.3858e+03 -3.5195e+02  8.1600e+02
3.5300e+00 -2.3576e+03 -3.2726e+02  8.8700e+02
3.5400e+00 -2.3569e+03 -2.6872e+02  9.3600e+02
3.5500e+00 -2.3678e+03 -2.3783e+02  9.5800e+02
3.5600e+00 -2.3381e+03 -2.3311e+02  9.8600e+02
3.5700e+00 -2.3683e+03 -2.0968e+02  9.8600e+02
3.5800e+00 -2.3870e+03 -2.3721e+02  1.0250e+03
3.5900e+00 -2.3412e+03 -2.4862e+02  1.0380e+03
3.6000e+00 -2.2882e+03 -2.1376e+02  1.0880e+03
3.6100e+00 -2.2980e+03 -1.9181e+02  1.1480e+03
3.6200e+00 -2.3265e+03 -1.9739e+02  1.1280e+03
3.6300e+00 -2.2870e+03 -2.4688e+02  1.1640e+03
3.6400e+00 -2.2622e+03 -2.4377e+02  1.1720e+03
3.6500e+00 -2.2273e+03 -2.1722e+02  1.1810e+03
3.6600e+00 -2.1695e+03 -2.4426e+02  1.2710e+03
3.6700e+00 -2.1654e+03 -2.6088e+02  1.3470e+03
3.6800e+00 -2.1959e+03 -2.8283e+02  1.3910e+03
3.6900e+00 -2.1863e+03 -3.1087e+02  1.4240e+03
3.7000e+00 -2.1398e+03 -3.0404e+02  1.4270e+03
3.7100e+00 -2.0935e+03 -2.8716e+02  1.4700e+03
3.7200e+00 -2.1105e+03 -2.8828e+02  1.5400e+03
3.7300e+00 -2.1363e+03 -3.2376e+02  1.5660e+03
3.7400e+00 -2.1045e+03 -3.0465e+02  1.6210e+03
3.7500e+00 -2.1052e+03 -2.8257e+02  1.6370e+03
3.7600e+00 -2.0888e+03 -3.5712e+02  1.6550e+03
3.7700e+00 -2.0452e+03 -3.7584e+02  1.7270e+03
3.7800e+00 -2.0535e+03 -3.4967e+02  1.7760e+03
3.7900e+00 -2.0721e+03 -3.7014e+02  1.8110e+03
3.8000e+00 -2.0334e+03 -3.8948e+02  1.8450e+03
3.8100e+00 -1.9761e+03 -3.8836e+02  1.9050e+03
3.8200e+00 -1.9681e+03 -3.6318e+02  1.9170e+03
3.8300e+00 -1.9750e+03 -3.5698e+02  1.9100e+03
3.8400e+00 -1.9560e+03 -4.2011e+02  1.9490e+03
3.8500e+00 -1.9224e+03 -4.3102e+02  1.9950e+03
3.8600e+00 -1.8980e+03 -4.1589e+02  2.0320e+03
3.8700e+00 -1.8884e+03 -4.5297e+02  2.0430e+03
3.8800e+00 -1.8675e+03 -4.3424e+02  2.0490e+03
3.8900e+00 -1.8313e+03 -4.4986e+02  2.0680e+03
3.9000e+00 -1.7710e+03 -5.1286e+02  2.0930e+03
3.9100e+00 -1.6978e+03 -5.2588e+02  2.1080e+03
3.9200e+00 -1.6657e+03 -5.2488e+02  2.1100e+03
3.9300e+00 -1.6589e+03 -5.2302e+02  2.1180e+03
3.9400e+00 -1.6345e+03 -5.1694e+02  2.1380e+03
3.9500e+00 -1.6010e+03 -5.2686e+02  2.1480e+03
3.9600e+00 -1.6048e+03 -5.5253e+02  2.1450e+03
3.9700e+00 -1.5732e+03 -5.6369e+02  2.1590e+03
3.9800e+00 -1.4938e+03 -5.7795e+02  2.1820e+03
3.9900e+00 -1.4597e+03 -5.7670e+02  2.2220e+03
4.0000e+00 -1.4293e+03 -5.8600e+02  2.2640e+03
4.0100e+00 -1.4126e+03 -6.2321e+02  2.2720e+03
4.0200e+00 -1.3984e+03 -6.3958e+02  2.2590e+03
