stlo:  120.6328
stla:   22.6119
stel:    139.00
     T           E           N           Z
 1.7300e+00 -2.0070e+03 -2.6610e+03 -1.6810e+03
 1.7400e+00 -2.0080e+03 -2.7070e+03 -1.6880e+03
 1.7500e+00 -2.0280e+03 -2.7450e+03 -1.6720e+03
 1.7600e+00 -2.0180e+03 -2.7040e+03 -1.6200e+03
 1.7700e+00 -1.9880e+03 -2.6690e+03 -1.5430e+03
 1.7800e+00 -1.9560e+03 -2.6940e+03 -1.4940e+03
 1.7900e+00 -1.9270e+03 -2.7180e+03 -1.4670e+03
 1.8000e+00 -1.9580e+03 -2.7030e+03 -1.4030e+03
 1.8100e+00 -1.9530e+03 -2.7200e+03 -1.3360e+03
 1.8200e+00 -1.8740e+03 -2.7350e+03 -1.3220e+03
 1.8300e+00 -1.8850e+03 -2.7360e+03 -1.3000e+03
 1.8400e+00 -1.8850e+03 -2.7580e+03 -1.2460e+03
 1.8500e+00 -1.8240e+03 -2.7680e+03 -1.1900e+03
 1.8600e+00 -1.8030e+03 -2.7710e+03 -1.1080e+03
 1.8700e+00 -1.7700e+03 -2.7660e+03 -1.0440e+03
 1.8800e+00 -1.7100e+03 -2.7840e+03 -1.0090e+03
 1.8900e+00 -1.6950e+03 -2.7950e+03 -9.7200e+02
 1.9000e+00 -1.7140e+03 -2.7930e+03 -9.3200e+02
 1.9100e+00 -1.6460e+03 -2.8200e+03 -9.0400e+02
 1.9200e+00 -1.5690e+03 -2.8380e+03 -9.0500e+02
 1.9300e+00 -1.5570e+03 -2.8550e+03 -8.7400e+02
 1.9400e+00 -1.5580e+03 -2.8280e+03 -8.2300e+02
 1.9500e+00 -1.5370e+03 -2.8190e+03 -7.9400e+02
 1.9600e+00 -1.5320e+03 -2.8680e+03 -7.5300e+02
 1.9700e+00 -1.4860e+03 -2.8460e+03 -7.0500e+02
 1.9800e+00 -1.4190e+03 -2.8150e+03 -7.0000e+02
 1.9900e+00 -1.4040e+03 -2.8450e+03 -7.1600e+02
 2.0000e+00 -1.3790e+03 -2.8870e+03 -6.6900e+02
 2.0100e+00 -1.3960e+03 -2.8840e+03 -5.8500e+02
 2.0200e+00 -1.3590e+03 -2.8430e+03 -5.3100e+02
 2.0300e+00 -1.3080e+03 -2.8570e+03 -4.8300e+02
 2.0400e+00 -1.2880e+03 -2.8840e+03 -4.6100e+02
 2.0500e+00 -1.2540e+03 -2.8600e+03 -4.3000e+02
 2.0600e+00 -1.2040e+03 -2.8700e+03 -3.6800e+02
 2.0700e+00 -1.1350e+03 -2.9020e+03 -3.1400e+02
 2.0800e+00 -1.1370e+03 -2.8980e+03 -2.6700e+02
 2.0900e+00 -1.1220e+03 -2.8970e+03 -2.3100e+02
 2.1000e+00 -1.0670e+03 -2.9380e+03 -1.8600e+02
 2.1100e+00 -9.8400e+02 -2.9750e+03 -1.8600e+02
 2.1200e+00 -9.2700e+02 -2.9510e+03 -1.8600e+02
 2.1300e+00 -9.1400e+02 -2.9840e+03 -1.5100e+02
 2.1400e+00 -8.6600e+02 -3.0640e+03 -1.6700e+02
 2.1500e+00 -8.4400e+02 -3.0530e+03 -1.3000e+02
 2.1600e+00 -8.2000e+02 -3.0090e+03 -5.0000e+01
 2.1700e+00 -7.7300e+02 -3.0070e+03 -1.1000e+01
 2.1800e+00 -7.2300e+02 -3.0510e+03  2.0000e+00
 2.1900e+00 -6.7800e+02 -3.0860e+03 -7.0000e+00
 2.2000e+00 -6.3300e+02 -3.0780e+03 -1.8000e+01
 2.2100e+00 -6.0900e+02 -3.0660e+03 -6.0000e+00
 2.2200e+00 -6.1700e+02 -3.0590e+03  3.1000e+01
 2.2300e+00 -5.9900e+02 -3.0450e+03  6.6000e+01
 2.2400e+00 -5.7200e+02 -3.0600e+03  6.6000e+01
 2.2500e+00 -5.4400e+02 -3.0970e+03  7.0000e+01
 2.2600e+00 -5.0500e+02 -3.0730e+03  1.0800e+02
 2.2700e+00 -5.0900e+02 -3.0460e+03  1.0300e+02
 2.2800e+00 -5.3400e+02 -3.0320e+03  9.9000e+01
 2.2900e+00 -5.0800e+02 -3.0410e+03  1.1400e+02
 2.3000e+00 -4.6300e+02 -3.0550e+03  1.1200e+02
 2.3100e+00 -4.4600e+02 -3.0110e+03  1.0800e+02
 2.3200e+00 -4.4800e+02 -3.0340e+03  5.9000e+01
 2.3300e+00 -4.7500e+02 -3.0840e+03  3.0000e+01
 2.3400e+00 -5.0100e+02 -3.0780e+03  3.9000e+01
 2.3500e+00 -4.8700e+02 -3.0720e+03  3.3000e+01
 2.3600e+00 -4.6800e+02 -3.0530e+03  5.6000e+01
 2.3700e+00 -4.3900e+02 -3.0600e+03  5.5000e+01
 2.3800e+00 -3.9300e+02 -3.0980e+03 -1.7000e+01
 2.3900e+00 -4.4200e+02 -3.0790e+03 -4.8000e+01
 2.4000e+00 -4.8500e+02 -3.0400e+03 -2.2000e+01
 2.4100e+00 -4.2200e+02 -3.0570e+03 -4.5000e+01
 2.4200e+00 -4.1900e+02 -3.1200e+03 -6.2000e+01
 2.4300e+00 -4.5200e+02 -3.1420e+03 -4.3000e+01
 2.4400e+00 -4.4600e+02 -3.1040e+03 -3.7000e+01
 2.4500e+00 -4.0500e+02 -3.1080e+03 -1.5000e+01
 2.4600e+00 -3.4200e+02 -3.1180e+03 -3.5000e+01
 2.4700e+00 -3.6700e+02 -3.1300e+03 -5.8000e+01
 2.4800e+00 -4.5600e+02 -3.1780e+03 -5.2000e+01
 2.4900e+00 -4.3100e+02 -3.2030e+03 -6.6000e+01
 2.5000e+00 -3.8100e+02 -3.2100e+03 -7.5000e+01
 2.5100e+00 -4.0300e+02 -3.1690e+03 -6.5000e+01
 2.5200e+00 -3.5000e+02 -3.1660e+03 -8.8000e+01
 2.5300e+00 -3.5200e+02 -3.2010e+03 -1.5200e+02
 2.5400e+00 -4.1600e+02 -3.2010e+03 -1.6500e+02
 2.5500e+00 -4.2700e+02 -3.1940e+03 -2.0300e+02
 2.5600e+00 -4.4000e+02 -3.2000e+03 -2.5400e+02
 2.5700e+00 -4.3700e+02 -3.2450e+03 -2.9100e+02
 2.5800e+00 -4.7900e+02 -3.2340e+03 -3.2500e+02
 2.5900e+00 -5.0200e+02 -3.2030e+03 -3.1300e+02
 2.6000e+00 -4.9400e+02 -3.1730e+03 -3.2800e+02
 2.6100e+00 -5.1600e+02 -3.1380e+03 -3.3300e+02
 2.6200e+00 -5.3800e+02 -3.1380e+03 -3.5100e+02
 2.6300e+00 -6.2300e+02 -3.1200e+03 -3.9400e+02
 2.6400e+00 -6.8500e+02 -3.1140e+03 -4.1600e+02
 2.6500e+00 -6.6800e+02 -3.0910e+03 -4.2600e+02
 2.6600e+00 -6.9500e+02 -3.0610e+03 -4.1700e+02
 2.6700e+00 -7.8500e+02 -3.0470e+03 -4.1800e+02
 2.6800e+00 -8.4400e+02 -3.0120e+03 -4.1800e+02
 2.6900e+00 -8.8200e+02 -3.0000e+03 -4.4800e+02
 2.7000e+00 -9.3600e+02 -2.9670e+03 -4.7500e+02
 2.7100e+00 -9.2900e+02 -2.9560e+03 -5.0900e+02
 2.7200e+00 -9.4900e+02 -2.9540e+03 -5.6700e+02
 2.7300e+00 -9.7600e+02 -2.9000e+03 -5.5900e+02
 2.7400e+00 -9.4800e+02 -2.9320e+03 -5.8100e+02
 2.7500e+00 -9.8700e+02 -2.9630e+03 -6.1000e+02
 2.7600e+00 -1.0330e+03 -2.9220e+03 -5.9400e+02
 2.7700e+00 -1.0180e+03 -2.9330e+03 -6.3200e+02
 2.7800e+00 -9.8800e+02 -2.9360e+03 -6.9600e+02
